"","DMSO1","DMSO2","DMSO3","AMLE1","AMLE2","AMLE3"
"Dap3",1780,1559,1645,1304,1668,1301
"Dapk1",2547,2483,2771,2011,2406,2910
"Dapk2",131,92,93,165,234,119
"Dapk3",1017,1041,1006,968,1249,986
"Dapl1",0,1,0,0,1,0
"Dapp1",2333,2133,1975,2757,4140,2609
"Dars",2722,2367,2254,1891,2395,1470
"Dars2",622,604,593,407,546,433
"Daw1",0,0,0,0,0,0
"Daxx",1554,1365,1467,1281,1719,1389
"Dazap1",3588,3321,3532,2276,2725,2370
"Dazap2",14048,12641,12280,11640,15176,11991
"Dazl",2,3,7,2,5,6
"Dbf4",1335,1175,1389,381,469,463
"Dbh",1,2,1,5,5,2
"Dbhos",0,0,0,0,0,0
"Dbi",3876,3659,4813,3016,3796,3376
"Dbil5",1,2,0,2,3,3
"Dbn1",19,23,28,46,40,52
"Dbndd1",71,57,54,60,106,69
"Dbndd2",210,217,224,363,581,376
"Dbnl",8929,8587,8429,7855,10081,8051
"Dbp",34,41,40,33,59,35
"Dbpht2",0,0,0,0,0,0
"Dbr1",827,733,852,492,626,488
"Dbt",777,713,791,446,614,492
"Dbx1",0,0,0,0,0,0
"Dbx2",0,0,0,1,0,0
"Dcaf10",852,703,740,654,824,660
"Dcaf11",2482,2305,2376,2651,3407,2799
"Dcaf12",3205,2813,2870,2172,2808,2573
"Dcaf12l1",0,0,1,1,3,0
"Dcaf12l2",2,0,0,1,4,2
"Dcaf13",1505,1269,1246,1038,1379,974
"Dcaf15",1323,1213,1277,1058,1397,1049
"Dcaf17",653,556,580,569,841,573
"Dcaf4",353,364,351,442,660,388
"Dcaf5",1671,1518,1475,1373,1882,1434
"Dcaf6",870,735,738,703,948,707
"Dcaf7",5906,4736,5387,4520,5679,4789
"Dcaf8",3089,2799,2888,2740,3752,2767
"Dcakd",676,652,724,526,701,552
"Dcbld1",9,3,10,3,7,1
"Dcbld2",135,146,194,253,356,369
"Dcc",0,0,0,0,0,0
"Dcdc2a",0,0,0,0,0,0
"Dcdc2b",556,481,477,410,524,403
"Dcdc2c",0,0,0,0,0,0
"Dchs1",17,5,15,10,16,8
"Dck",2170,1880,2220,847,961,1024
"Dclk1",2,0,0,0,1,0
"Dclk2",32,16,32,73,119,64
"Dclk3",9,12,6,2,0,2
"Dclre1a",752,673,747,751,975,795
"Dclre1b",1176,1017,1044,636,700,591
"Dclre1c",1865,1736,1854,2237,3224,2313
"Dcn",0,0,2,0,0,0
"Dcp1a",1587,1460,1412,1494,2038,1535
"Dcp1b",218,183,205,194,261,199
"Dcp2",2735,2286,2414,1923,2507,1909
"Dcpp1",0,0,0,0,0,0
"Dcpp2",0,0,0,0,0,0
"Dcpp3",0,0,0,0,0,0
"Dcps",1180,1024,1004,752,1008,718
"Dcst1",25,13,27,16,43,26
"Dcstamp",1561,1896,2371,1431,1591,2514
"Dct",0,0,0,0,0,0
"Dctd",213,167,132,114,122,46
"Dctn1",6095,5586,5784,5076,6349,5090
"Dctn2",5786,5406,5537,5570,7406,5889
"Dctn3",1331,1368,1350,1354,1798,1246
"Dctn4",2105,1949,2042,2177,2874,2203
"Dctn5",2460,2274,2435,1932,2574,2013
"Dctn6",1374,1373,1295,1176,1614,1139
"Dctpp1",879,790,831,383,462,417
"Dcun1d1",813,768,821,645,911,685
"Dcun1d2",785,711,737,568,748,594
"Dcun1d3",788,658,515,584,653,503
"Dcun1d4",138,114,131,84,98,103
"Dcun1d5",1865,1619,1677,1403,1895,1391
"Dcx",0,0,0,0,0,0
"Dcxr",705,698,694,1024,1330,962
"Dda1",1852,1723,1652,1665,2240,1509
"Ddah1",0,0,0,0,2,0
"Ddah2",79,76,66,69,95,70
"Ddb1",13981,12650,12266,10636,14715,10654
"Ddb2",214,217,196,148,224,136
"Ddc",1,2,0,2,4,0
"Ddhd1",4537,4146,4910,5193,7135,5393
"Ddhd2",1542,1304,1470,1130,1535,1253
"Ddi1",0,0,0,0,0,0
"Ddi2",1119,972,996,1021,1401,1083
"Ddias",434,350,413,336,446,322
"Ddit3",445,401,373,508,742,455
"Ddit4",443,440,315,1398,1653,1330
"Ddit4l",22,27,32,45,77,46
"Ddn",2,3,1,1,1,0
"Ddo",0,0,0,0,0,0
"Ddost",6565,5641,6289,3937,4679,3750
"Ddr1",41,26,38,29,34,26
"Ddr2",8,0,4,2,1,0
"Ddrgk1",1322,1129,1271,1036,1255,1083
"Ddt",1865,1586,1109,2138,2878,1326
"Ddx1",3067,2607,2826,1893,2512,1964
"Ddx10",1118,938,959,723,892,622
"Ddx11",571,503,573,274,393,235
"Ddx17",19267,17185,16657,17906,25997,18600
"Ddx18",1875,1801,1664,1345,1773,1197
"Ddx19a",1725,1435,1561,1139,1533,1127
"Ddx19b",1330,1270,1191,1076,1478,1161
"Ddx20",818,729,750,499,721,497
"Ddx21",6170,5457,5010,3759,4770,2805
"Ddx23",3762,3322,3500,2500,3030,2632
"Ddx24",2958,2640,2585,2484,3274,2369
"Ddx25",5,3,5,6,7,5
"Ddx26b",2868,2420,2358,1787,2305,1763
